49|I.Q. (1994)|01-Jan-1994|5,14|1975,2048,3099,3969,5120,5898,7446,8955,8999,9494,12661,12901,14210,14669,15351,16186,16813,17158,22176,22178,22992,23800,24876,27183,27949,28659,29139,30175,30288,30367,31494,32727,32735,34414,34425,39234,40190|711
50|Star Wars (1977)|01-Jan-1977|1,2,14,15,17|633,885,1001,1202,1618,1636,1932,2058,2300,3210,3483,3648,4402,5132,5321,5888,5911,6071,6204,6616,6775,6778,6783,8327,8666,9097,9278,9400,9774,9811,10140,10528,10678,10755,10805,10944,11021,11427,11458,11488,11983,12154,12454,13076,13150,13573,14081,14095,14683,14928,15180,15494,15964,16039,16189,16327,16903,16991,17096,17106,18246,20589,21074,21218,21260,22074,22686,23410,24256,25199,25310,25404,25477,25587,25588,26165,26203,26281,26573,26728,27443,27466,27508,27757,27935,28310,28618,30844,31638,32276,32876,33097,33270,33490,34814,35496,35520,36151,36153,38177,39991,40768,41118,42436|486
51|Legends of the Fall (1994)|01-Jan-1994|8,14,17,18|577,977,1634,1878,3795,5686,6705,7136,8176,9797,9805,11361,11996,12193,12242,13002,13570,13719,14067,14187,15077,15285,16040,17428,19353,20833,21321,23183,23988,24383,25230,26011,26312,27868,28517,31092,34443,35136,36751,38711,39166|906
52|The Madness of King George (1994)|01-Jan-1994|8|900,1858,2972,3289,3740,4089,4567,5314,5413,6196,8006,9626,10141,10194,10839,10846,11247,11914,12523,13303,13594,15160,16122,16652,17478,18040,20036,20369,21901,22348,23053,23302,23661,23828,24922,25536,27263,27747,28624,28666,30960,31010,32043,32630,32822,34348,34357,34464,37905,38814,39516|378
53|Natural Born Killers (1994)|01-Jan-1994|1,16|1265,1352,1759,2239,3064,3573,3693,4032,4480,4572,4689,5145,5434,5693,5712,6057,6710,6849,7149,7479,8033,8491,9111,9186,9270,9514,9853,10092,10352,10868,10951,10989,11011,11042,11082,12113,13199,13231,13473,14984,15457,15627,16581,17523,18691,18973,20217,20285,20292,21351,21831,22005,22494,22810,22875,23418,23917,24239,24318,25261,25531,26031,26035,27099,27624,27637,27921,28010,28745,28817,28818,28943,33066,33130,33648,34400,35283,35529,35568,35652,36337,36589,36762,37449,37637,37954,38314,39216,39623,39678,40173,40514,41604,41713|783
54|Outbreak (1995)|01-Jan-1995|1,8,16|667,1086,1326,1706,2076,2448,2685,3200,3594,4605,4656,5640,6609,7270,7479,7817,8152,8695,8889,8921,8992,9939,10875,10890,11305,11353,11463,11713,11822,11916,12545,12780,12828,13256,13845,13926,14538,14841,15038,15530,15673,15716,16580,16665,17754,17901,18130,19139,19352,19727,19927,20093,20669,20838,21377,21528,21653,22052,22263,22570,22993,24151,24701,24719,25081,25129,25499,26554,26644,27423,28291,29023,29455,29552,30077,30591,30943,32697,34421,34538,34923,35391,35567,35823,37731,37855,38646,38749,39175,39225,39540,39957,40169,42107|618
55|The Professional (1994)|01-Jan-1994|6,8,14,16||
56|Pulp Fiction (1994)|01-Jan-1994|6,8|350,1637,1822,2305,2398,3554,3729,4744,9611,10286,11605,11774,12648,13650,14651,15428,20772,21898,21948,21978,22670,22867,23946,24034,24312,24936,24995,25231,25727,26428,26640,27321,27949,27984,28348,29403,29601,29603,32312,33630,34186,34206,34869,35494,35692,36540,36824,37289,39223,39251,40323,41430,41705,42009|803
57|Priest (1994)|01-Jan-1994|8|493,1328,1874,2277,2563,3991,4978,5002,6438,7770,8087,9139,11262,13173,14143,15915,16682,18697,19304,20354,20360,21037,21234,22155,26993,28138,28180,28300,29598,31717,33806,34632,35459,36631,39976,40576,41658,41848,41964,42334|79
58|Quiz Show (1994)|01-Jan-1994|8|24,126,424,949,1058,1163,2043,2282,3288,3434,3503,3560,3803,3888,5188,5502,5926,7395,8317,8341,8424,9059,9656,9689,9855,10224,10362,10522,11206,11224,12875,13632,13816,13910,13970,14282,15098,15273,15491,15825,15847,15884,16390,16627,16629,17133,17269,18256,18479,18484,19295,19451,19877,20156,20322,20351,20964,21118,21532,21945,22441,22906,22934,23500,23508,23629,23926,23949,23963,24595,25073,25811,26065,26654,27299,28382,29045,29971,30476,31094,31112,31793,32663,32694,32735,32909,33326,34510,36113,37992,38856,39140,39253,39480,39681,39728,40161,40181,40628,40707,40715,41026,42733|653
59|Three Colors: Red (1994)|01-Jan-1994|8||
60|Three Colors: Blue (1993)|01-Jan-1993|8||
61|Three Colors: White (1994)|01-Jan-1994|8||
62|Stargate (1994)|01-Jan-1994|1,2,15|75,1014,1105,2103,5125,5763,6109,6175,6536,6814,8329,9542,9651,10204,11879,12096,12818,12963,13950,14852,15597,18274,18806,21128,22105,22853,23221,24551,24723,25147,25276,26173,27746,27839,27919,28145,29393,29695,31252,34913,34951,36652,41569,42529|235
63|The Santa Clause (1994)|01-Jan-1994|4,5|383,1010,1085,1899,2749,2832,4110,5043,6273,6677,11130,13119,14158,14294,14295,14428,14446,14576,15548,16050,16179,16755,17402,18245,18248,18668,18840,19107,19477,20219,20717,21769,21785,23213,24741,26408,26560,26766,27118,27839,27880,28109,28299,29955,31253,31946,32851,34227,34286,35278,35822,35901,36055,36895,36896,37553,39106,40448,41494|605
64|The Shawshank Redemption (1994)|01-Jan-1994|8|524,1074,1189,1770,1785,2487,2832,2866,3118,3155,4692,5306,5601,5792,6230,6551,6610,6668,7055,8748,8914,8921,9694,10280,10558,10724,11354,12064,13099,13135,13513,13598,13776,13847,14072,15366,15396,15742,15883,16147,16354,16852,17090,17417,17544,17820,19090,19986,20376,21217,21275,21410,21765,22023,22178,22452,22959,24766,25074,25473,25475,26046,27376,28088,28669,29094,29111,30323,34657,40746,40848,40968|182
65|What's Eating Gilbert Grape (1993)|01-Jan-1993|5,8|2863,4992,5251,6671,6795,7542,8263,8381,9758,10261,10537,11288,11368,12319,13224,13627,14370,19950,21772,21876,24173,24909,25110,25219,25686,26170,27869,30520,30596,31256,34191,34498,35452,35886,36339,36432,36589,36808,40099,40366,41181,42172|314
66|While You Were Sleeping (1995)|01-Jan-1995|5,14|1080,1993,2749,5909,8138,9142,10186,10492,11179,12769,14358,14701,16864,17979,18459,20733,21246,22109,24297,27519,28707,30831,35433,35723,36222,37740,37773,39658,40107,40360,41835,42282,42594,42902|824
67|Ace Ventura: Pet Detective (1994)|01-Jan-1994|5|156,733,1182,1374,1432,2480,3910,4041,4266,4897,5004,5396,5723,6428,6573,7995,8282,8382,9250,9859,11273,13897,14148,14707,15566,16462,16465,16478,16924,17612,17912,18059,18639,19920,20350,20845,23341,24061,24936,25069,25303,25387,26199,26698,27283,27744,28345,29149,31564,31880,32727,33202,35650,37605,37913,38968,40168,43004|733
68|The Crow (1994)|01-Jan-1994|1,14,16|153,1608,2579,2923,3686,4403,5669,6006,6162,8382,9001,9329,9929,12216,12456,13695,14009,14730,15025,15250,15837,15906,16736,16743,16868,16972,18873,19423,20103,20501,20917,20981,21017,21264,21516,21611,22384,22514,22818,23417,23556,24294,24863,25760,26240,26649,27669,27915,28454,30346,32244,32612,32641,32809,33959,34501,34959,35621,35890,36391,36562,36668,40669,41444,41667|636
69|Forrest Gump (1994)|01-Jan-1994|5,14,17|27,117,130,233,309,560,800,996,1316,2083,2291,2443,2631,2673,2706,2909,2984,3020,3440,3781,4250,4633,4740,5146,5941,6040,6223,6248,6674,6807,6937,7352,7874,8415,8508,8664,9090,9173,9350,9518,9591,9643,9644,9885,10376,10735,10774,10818,10883,10889,10890,10899,10941,10979,11015,11499,11563,11988,12293,12592,12599,12631,13037,13093,13115,13669,13701,13743,13771,13778,14581,14713,15148,15185,15652,15846,16329,16776,16828,17190,17288,17458,17983,19245,19491,19736,19774,19866,20447,20555,20556,21125,21371,21503,21632,21641,21644,21931,21949,21976,22184,22275,22603,22853,23805,24013,24054,24282,24288,24354,24998,25186,25346,25919,26660,26715,26753,26787,27172,27251,27380,27386,27507,27577,27872,28332,28421,28479,28696,29063,29078,30272,30849,31099,31357,31607,32091,32453,32773,33223,33749,34131,34342,34416,34421,34728,34931,35472,36747,36827,37425,37643,38064,39985,40054,40235,40274,40472,40862,41358,41584,41819,42688,42907|901
70|Four Weddings and a Funeral (1994)|01-Jan-1994|5,14|22,379,946,2266,2687,3267,3521,3598,3776,7239,8521,10162,10375,10384,10685,10896,11177,11511,12729,13744,13809,14218,14496,14737,17122,17526,20293,20687,21662,22348,24867,24901,26050,26738,26906,27225,27360,27395,27759,28730,31338,31665,31996,32003,34107,34392,34814,35019,35253,35329,35772,35979,36961,37416,37658,38101,40433,41150,41187,41529,41677,42300|577
71|The Lion King (1994)|01-Jan-1994|3,4,12|946,1872,3057,5820,10525,12522,13150,14363,14726,16469,17028,21201,21516,22934,23217,26021,26231,27698,27839,28268,30985,31270,32809,33932,35759,36415,39149,40802|7,553
72|The Mask (1994)|01-Jan-1994|5,6,9|330,1121,1346,2412,4041,4216,4734,6119,7103,8684,10286,10337,12813,12850,13564,13653,15716,16773,16857,17180,18218,19618,19662,19846,20584,21617,22043,22219,22329,23211,25010,25162,25772,26808,28266,30076,30156,30272,30538,30839,31222,31769,32526,32790,33268,33276,37849,40118,40199,42336,42682,42963|693
73|Maverick (1994)|01-Jan-1994|1,5,18|400,1485,2245,2394,3010,4055,4345,4360,4906,6135,6820,6970,7032,7238,7302,8210,8363,8602,8717,8842,9037,9040,9300,9301,9561,9565,9620,9759,9941,9989,10281,11095,11365,11421,12373,12873,12880,12892,13185,13345,13851,14606,15314,15495,16589,17042,17566,18137,18394,19830,19884,20511,21272,21814,24535,24566,24938,25784,26355,26589,28668,29142,29858,30076,31185,32025,32277,33421,35144,35858,37341,37505,38672,39082,40702|210
74|Faster Pussycat! Kill! Kill! (1965)|01-Jan-1965|1,5,8||
75|Brother Minister: The Assassination of Malcolm X (1994)|01-Jan-1994|7|1146,3241,4788,8127,8785,10673,10674,12556,13468,13810,14254,14495,18586,18587,19092,22209,24795,25514,28803,40554|0,57
76|Carlito's Way (1993)|01-Jan-1993|6,8|657,1032,2491,2625,2903,2914,3396,3722,3868,5219,5361,5502,5781,5978,6139,6708,6821,8275,8386,8694,10249,10588,10648,11222,11890,12187,12564,12897,13511,15089,15490,16093,16285,16464,16926,17512,17875,17989,18013,18022,18108,18332,18489,18641,19845,19960,20211,20225,20227,20436,20763,20995,21231,21380,21464,21477,21642,22097,22131,22132,22133,23004,23033,23142,23218,23619,23705,23895,24112,24298,24309,25421,25615,25725,26206,26272,26736,26935,26987,27740,27758,28773,29121,29122,29837,30107,30281,32553,34020,34386,34411,34779,36241,36499,36753,37086,37277,37328,37861,38247,38463,38721,38732,39563,39770,39812,39938,40293,40294,41465,42082|189
77|The Firm (1993)|01-Jan-1993|8,16|373,1038,1619,1764,2571,3007,3022,3558,3729,4135,4584,5150,5630,5660,5752,5974,7475,8668,8892,9963,10636,10938,11029,11690,11805,11855,13038,13125,13440,13933,13991,14027,14387,14590,14764,16824,17097,19029,19207,19310,19774,20114,21529,23315,24459,24546,24693,25326,25469,27137,27341,27358,27685,27788,28017,28054,29474,29670,30595,32957,33703,33901,34641,35157,35599,36751,37271,38848,40344,41643,41857,41919,42496|627
78|Free Willy (1993)|01-Jan-1993|2,4,8|1079,7424,9108,10750,12525,13380,13646,14835,16132,16273,17756,17953,18693,19001,20260,22012,22045,23047,23060,23346,26834,28332,29656,34506,35525,39114,41756|875
79|The Fugitive (1993)|01-Jan-1993|1,16|244,1080,1344,1469,2912,3515,3960,4531,5169,5643,5646,5744,5907,5909,6125,6154,6451,6604,7235,7773,7936,8435,8589,8666,8726,8743,9010,9171,9251,9517,9742,9853,10491,10584,10807,10928,11526,11802,11900,11949,12672,12731,13105,13199,13514,13700,14296,14352,14517,14715,14853,15262,15365,15410,15684,15821,15928,17207,17369,18362,18595,18622,19228,20076,20217,20494,20561,21493,21812,21944,21971,22045,22282,22391,22459,22681,23418,23539,23598,23825,24169,24196,24331,24433,26141,27032,27624,28169,28199,28412,28627,29427,29767,30492,30552,30779,30991,31115,31216,31308,33155,33762,33970,35354,36013,36263,36913,37994,38046,38050,38375,39753,39845,41041,41121,42370,42375,42594,43048|185
80|Hot Shots! Part Deux (1993)|01-Jan-1993|1,5,17|48,51,946,1345,1725,2011,2982,5099,5117,5147,5657,6527,7630,7919,8288,10179,10460,10717,11204,11322,11455,11546,12078,12755,12903,13514,14199,14323,14516,15087,15127,15294,15444,15453,15464,15560,16545,17114,17221,17755,17955,18891,19696,20549,20839,21494,21722,22902,23216,23258,23897,23898,24099,24109,24327,24991,25181,25549,25670,25873,25876,26342,26354,27076,27417,28463,28549,28710,29207,29208,29214,29640,29781,29830,30009,30914,33953,34239,34577,34962,35189,35483,35594,36001,38855,39408,40236,40373,41011,41179,41675,41774,42947|1
